Dates,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Balance
2017-01-15,73015.93154761904,9832.30357142857,53968.181547619046,4057.589285714286,361.610119047619,6263.940476190476,-899.9375,1094.3720238095236,1662.1279761904766
2017-01-22,81651.44642857143,12553.815476190475,55134.967261904756,2667.848214285714,620.7142857142857,8198.306547619048,-634.5505952380952,1128.9255952380952,-1981.419642857143
2017-01-29,78319.9523809524,11678.785714285712,55648.52976190477,2962.327380952381,520.25,7175.375000000001,-817.8363095238094,1127.9107142857142,-24.610119047619005
2017-02-05,65517.83630952381,7466.797619047619,53400.21726190477,4217.776785714285,357.35714285714283,6107.749999999999,-1147.3363095238096,1088.7083333333335,5973.434523809525
2017-02-12,70211.43452380951,9342.449404761906,51846.81547619047,2414.994047619048,507.44642857142856,7905.9255952380945,-932.1458333333334,1082.5595238095236,1956.6101190476188
2017-02-19,63205.88988095238,10133.5,49023.46428571428,2410.8779761904766,805.7708333333334,6529.080357142857,-887.235119047619,1095.214285714286,5904.782738095238
2017-02-26,61679.729166666664,9273.949404761905,47860.32142857143,4545.535714285715,779.7916666666667,5724.800595238096,-872.279761904762,1116.592261904762,6748.982142857142
2017-03-05,62722.23511904762,7318.705357142857,48316.3363095238,6413.169642857143,607.2440476190477,7094.193452380953,-944.0297619047617,1090.7321428571427,7174.1160714285725
2017-03-12,59709.43452380953,7374.639880952381,46682.11309523809,3285.372023809524,814.0089285714286,8988.98511904762,-855.4166666666666,1061.6279761904761,7641.895833333333
2017-03-19,55121.157738095244,6170.693452380952,45353.056547619046,3037.5089285714284,1058.3125,8081.330357142857,-953.6785714285713,1053.6904761904764,8679.755952380952
2017-03-26,56748.092261904756,6384.258928571428,44997.95238095239,3627.6220238095234,823.1488095238094,8789.70238095238,-849.404761904762,1046.452380952381,8071.639880952381
2017-04-02,50686.56845238095,5649.083333333333,44546.029761904756,2173.497023809524,1202.3898809523812,7331.214285714285,-890.6815476190476,1047.9315476190475,10372.895833333334
2017-04-09,50196.904761904756,5355.258928571428,44298.5386904762,1838.7083333333335,1530.360119047619,6636.955357142856,-709.8065476190477,967.4732142857143,9720.583333333334
2017-04-16,48614.6994047619,4436.005952380952,43466.255952380954,1797.654761904762,1407.1726190476188,5672.851190476191,-746.8482142857141,1009.967261904762,8428.36011904762
2017-04-23,51193.74107142857,4315.940476190477,44475.09523809523,2315.0505952380954,1736.6190476190477,4824.505952380952,-859.2470238095237,1097.6488095238096,6711.872023809525
2017-04-30,53584.866071428565,5036.607142857143,44527.279761904756,2352.360119047619,1205.7380952380952,5665.044642857143,-859.172619047619,1054.3005952380952,5397.291666666666
2017-05-07,50342.005952380954,4106.526785714286,43024.791666666664,2573.9910714285716,1189.107142857143,6592.002976190476,-891.3244047619048,1055.7886904761904,7308.877976190475
2017-05-14,47417.87202380952,3650.654761904762,41301.40178571428,2323.2499999999995,1373.2916666666667,7937.994047619047,-1007.6607142857141,973.9255952380952,9134.985119047618
2017-05-21,45822.48214285714,2674.261904761905,41881.22916666667,1523.9434523809523,1526.0238095238094,7868.809523809524,-866.7470238095237,955.2440476190477,9740.282738095237
2017-05-28,43486.05357142857,1684.6845238095236,37328.87797619047,2002.0863095238092,1737.0714285714287,7935.339285714285,-983.3571428571429,1012.4285714285716,7231.077380952381
2017-06-04,45200.907738095244,2923.470238095238,36554.88095238095,1070.3511904761906,1329.4107142857142,8060.866071428572,-615.0654761904763,1054.595238095238,5177.601190476191
2017-06-11,43998.03273809523,1201.782738095238,37420.595238095244,3217.339285714286,1671.282738095238,7571.196428571428,-888.4226190476192,1034.4821428571427,7230.223214285715
2017-06-18,46334.77083333333,2237.613095238095,37251.73809523809,1764.8214285714287,1739.053571428571,7227.812500000001,-774.1220238095239,1045.8988095238096,4158.044642857143
2017-06-25,48039.70238095238,3679.0148809523816,37341.95833333333,1702.8660714285713,1612.130952380952,6358.973214285715,-759.3452380952382,1040.1220238095236,2936.0178571428573
2017-07-02,45556.53869047619,3497.610119047619,36582.508928571435,2335.741071428571,1151.220238095238,6290.809523809524,-729.1190476190477,1050.9464285714287,4623.178571428572
2017-07-09,46723.90178571428,5375.9464285714275,36338.931547619046,1237.1190476190475,1589.7678571428573,5686.794642857143,-554.1011904761905,1037.4255952380952,3987.9821428571427
2017-07-16,44786.16666666667,4474.910714285715,38266.00595238095,2015.285714285714,1484.9672619047617,5163.4375,-692.8660714285714,1137.3184523809523,7062.892857142857
2017-07-23,46251.57142857142,4722.372023809524,39112.93452380953,2806.3303571428573,1362.8452380952378,4748.991071428572,-670.5357142857143,1064.6130952380952,6895.979166666667
2017-07-30,44600.64285714285,3083.7916666666656,38570.9880952381,3162.7053571428573,1363.0625,5005.086309523809,-661.8154761904761,1157.9821428571427,7081.1577380952385
2017-08-06,43445.41666666667,1828.8511904761906,38720.2113095238,2032.7410714285713,1452.1994047619046,4998.630952380952,-682.6755952380953,1069.7083333333335,5974.249999999999
2017-08-13,40590.01785714285,1829.4523809523805,37433.592261904756,1708.0892857142858,1342.8244047619046,5136.803571428572,-737.279761904762,1148.0714285714287,7271.535714285713
2017-08-20,40421.0386904762,1357.3482142857142,37312.63988095238,1990.3125000000002,1420.863095238095,4761.041666666666,-785.4880952380953,1056.7440476190477,6692.422619047619
2017-08-27,44002.110119047626,3343.473214285714,39166.654761904756,1024.827380952381,1445.8690476190475,4117.255952380952,-592.0416666666666,1001.8333333333334,5505.7619047619055
2017-09-03,45481.74107142857,4644.291666666666,40130.17857142857,1327.4107142857142,1221.190476190476,4389.598214285715,-720.1160714285713,1044.985119047619,6555.797619047619
2017-09-10,45384.12202380952,3399.2559523809527,40352.84821428572,3228.074404761905,1061.4285714285713,4438.089285714285,-769.1755952380953,1180.589285714286,7506.9880952380945
2017-09-17,46720.041666666664,2057.660714285714,40645.294642857145,4200.098214285715,1051.577380952381,3988.127976190476,-573.1011904761905,1029.4583333333333,5679.0744047619055
2017-09-24,47880.40178571428,4925.994047619048,41357.517857142855,969.6369047619048,1266.1101190476188,4345.029761904762,-659.5029761904761,988.7648809523808,5313.148809523809
2017-10-01,46807.630952380954,5765.616071428572,40624.81547619047,1362.1488095238094,947.6547619047618,4045.110119047619,-762.2142857142857,1038.8630952380952,6214.363095238096
