;YYMM;Région;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Balance
384;1509;AURA;9509714.0;230566.0;12331182.0;141924.0;146798.0;3031414.0;-496541.0;141037.0;6016666.0
385;1509;B;2950005.0;1493.0;0.0;196012.0;40299.0;84723.0;-7973.0;51409.0;-2584042.0
386;1509;BFC;3098579.0;31751.0;0.0;127927.0;43410.0;98210.0;-7034.0;28202.0;-2776113.0
387;1509;CVDL;2549956.0;1475.0;13163181.0;329893.0;47232.0;791.0;0.0;72280.0;11064896.0
388;1509;GE;6715417.0;891691.0;12686834.0;982669.0;91901.0;954656.0;-174090.0;96297.0;8814541.0
389;1509;HF;7573366.0;700771.0;5178152.0;692697.0;23086.0;1061.0;0.0;143542.0;-834057.0
390;1509;IDF;9926288.0;12474.0;0.0;13001.0;14048.0;11648.0;0.0;172387.0;-9702730.0
391;1509;N;4010905.0;542848.0;9251015.0;161163.0;25239.0;17774.0;0.0;67118.0;6054252.0
392;1509;NlleA;5885458.0;69092.0;7026719.0;154860.0;355407.0;316977.0;0.0;231821.0;2269418.0
393;1509;O;4865406.0;2362.0;1591104.0;328676.0;303103.0;971097.0;-156713.0;119261.0;-1706516.0
394;1509;PACA;5875442.0;586966.0;0.0;20147.0;227476.0;1378717.0;-47.0;103303.0;-3558880.0
395;1509;PDL;3672720.0;652230.0;0.0;191896.0;88259.0;77.0;0.0;55345.0;-2684913.0
396;1510;AURA;11124198.0;361275.0;13264347.0;125061.0;97803.0;3572969.0;-599616.0;124405.0;5822046.0
397;1510;B;3452662.0;2105.0;0.0;221481.0;24140.0;91419.0;-8836.0;48667.0;-3073686.0
398;1510;BFC;3636209.0;42140.0;0.0;91020.0;27715.0;79745.0;-6330.0;22778.0;-3379141.0
399;1510;CVDL;3015982.0;5557.0;11350456.0;218547.0;30081.0;3018.0;0.0;72577.0;8664254.0
400;1510;GE;7806130.0;2137744.0;14681734.0;599902.0;54263.0;959623.0;-222107.0;105814.0;10510843.0
401;1510;HF;8655089.0;1028617.0;6344344.0;481731.0;14799.0;1288.0;0.0;143768.0;-640542.0
402;1510;IDF;12100592.0;49600.0;0.0;7570.0;8447.0;12191.0;0.0;192420.0;-11830364.0
403;1510;N;4663179.0;629464.0;10896927.0;144497.0;15656.0;14964.0;0.0;68590.0;7106919.0
404;1510;NlleA;6927153.0;101728.0;8620276.0;149808.0;282732.0;328550.0;0.0;194088.0;2750029.0
405;1510;O;5660748.0;-5306.0;3668241.0;343029.0;226952.0;1084791.0;-85656.0;106162.0;-322535.0
406;1510;PACA;6459846.0;1758691.0;0.0;17534.0;164605.0;1591011.0;0.0;104042.0;-2823963.0
407;1510;PDL;4337114.0;1100996.0;0.0;176422.0;58968.0;16.0;0.0;61631.0;-2939081.0
408;1511;AURA;11545024.0;599791.0;14375377.0;150221.0;80122.0;3108024.0;-581105.0;173386.0;6360792.0
409;1511;B;3623598.0;131480.0;0.0;390704.0;13566.0;89549.0;-9583.0;52789.0;-2955093.0
410;1511;BFC;3828050.0;158377.0;0.0;179667.0;18149.0;74503.0;-6653.0;31368.0;-3372639.0
411;1511;CVDL;3159962.0;105235.0;11505818.0;454483.0;20005.0;3767.0;0.0;79755.0;9009101.0
412;1511;GE;8059384.0;1982475.0;16275206.0;1301933.0;32879.0;907148.0;-195871.0;120815.0;12365201.0
413;1511;HF;8940383.0;1400706.0;6174658.0;1321629.0;7491.0;1811.0;0.0;166197.0;132109.0
