Dates;Consommation;Conso_p_sinus;Err_sinus;Conso_p_exog;Err_exog;Conso_p_filter;Err_exog_filter;Conso_p_reduit_noreg;Err_filter_noreg;Conso_p_reduit;Err_filter_exog_filter;Conso_p_LinReg;Err_LinReg;Conso_p_LinReg_filter;Err_LinReg_filter
2020-06-12 06:00:00;41995.333333333336;45791.684760908254;3796.3514275749185;46048.92907630268;4053.5957429693444;48189.82716532201;6194.493831988671;47784.27906896075;5788.945735627414;50378.54614152549;8383.212808192155;53419.45706555787;11424.123732224536;53491.51624738043;11496.182914047095
2020-06-12 09:00:00;49606.0;54823.89775919337;5217.897759193373;52900.034083259656;3294.0340832596557;54826.17343140201;5220.173431402007;53806.93116709776;4200.931167097762;54922.73470695189;5316.734706951887;48112.908714299876;1493.091285700124;48514.80030996572;1091.1996900342783
2020-06-12 12:00:00;50768.66666666666;56029.68478656458;5261.018119897926;54378.965560114164;3610.298893447507;55485.72900887409;4717.062342207435;53890.57013225344;3121.90346558678;54556.04815241965;3787.381485752994;45465.97506595738;5302.6916007092805;46032.388768410194;4736.277898256463
2020-06-12 15:00:00;46096.5;51636.50249025733;5540.002490257328;50853.565368338765;4757.0653683387645;50708.79434706941;4612.294347069408;48387.261637702904;2290.7616377029044;48213.316032035815;2116.8160320358147;44563.33913230498;1533.16086769502;45185.85683478028;910.6431652197207
2020-06-12 18:00:00;44957.0;48535.884588317356;3578.8845883173562;48196.5352823179;3239.5352823178982;47128.578350073;2171.578350073003;48403.564299989805;3446.5642999898046;45857.51529833464;900.5152983346416;46489.606398860415;1532.6063988604146;46992.39554330143;2035.395543301427
2020-06-12 21:00:00;43026.0;45175.33634599155;2149.336345991549;46515.96088806309;3489.9608880630913;45666.11704075897;2640.117040758967;47085.04081865409;4059.040818654088;45672.9404361022;2646.9404361022025;50794.486844163344;7768.486844163344;51029.70297982466;8003.7029798246585
2020-06-13 00:00:00;40364.333333333336;41759.16596744951;1394.8326341161737;43280.77192707882;2916.4385937454863;42991.074294530714;2626.740961197378;43768.01612712806;3403.6827937947237;43355.23643845928;2990.9031051259444;52957.025072368786;12592.69173903545;53057.82705468156;12693.493721348226
2020-06-13 03:00:00;33878.166666666664;37193.44957915773;3315.282912491064;39785.12266617596;5906.955999509293;39597.5865415383;5719.419874871637;40115.243522849596;6237.076856182932;41563.75987397155;7685.5932073048825;54016.68245825033;20138.515791583668;54051.62065674413;20173.45399007747
2020-06-13 06:00:00;34631.0;46248.36060385087;11617.360603850873;47666.423429655784;13035.423429655784;48913.6452085878;14282.645208587797;46051.55363402424;11420.55363402424;48917.62716375946;14286.627163759462;52785.0059011109;18154.005901110897;52896.49986147187;18265.49986147187
2020-06-13 09:00:00;41281.333333333336;54249.952733451224;12968.619400117888;54544.77163078561;13263.438297452274;54655.53842363495;13374.205090301613;51875.79600689751;10594.462673564172;53124.60395304961;11843.270619716277;47556.5937793069;6275.260445973567;47993.063538728165;6711.73020539483
2020-06-13 12:00:00;44430.83333333334;54340.37495457608;9909.541621242737;54682.474123838256;10251.640790504913;54196.282742839925;9765.449409506582;52677.709117052174;8246.875783718831;53321.82293897547;8890.989605642128;44970.04319184082;539.2098585074782;45567.281904510106;1136.448571176763
2020-06-13 15:00:00;39990.5;49294.068876255966;9303.568876255966;49332.95817427295;9342.45817427295;48684.620299092574;8694.120299092574;47353.92695749683;7363.4269574968275;47253.0746596418;7262.574659641803;44142.92952765978;4152.429527659777;44791.57809817289;4801.078098172889
2020-06-13 18:00:00;40046.66666666666;46299.444590662555;6252.777923995898;45117.74023641073;5071.073569744076;45067.576848675;5020.910182008345;47091.54517364653;7044.878506979876;44701.292073330675;4654.625406664018;46171.96664493208;6125.299978265422;46694.49892178909;6647.832255122434
2020-06-13 21:00:00;40297.0;44017.13661716705;3720.1366171670525;45006.68900607532;4709.689006075321;44532.89253022503;4235.892530225028;46093.22761375504;5796.227613755043;44755.166630265296;4458.166630265296;50582.98231757758;10285.982317577582;50831.344672574865;10534.344672574865
2020-06-14 00:00:00;38538.833333333336;40907.80920583244;2368.9758724991043;42615.93718566398;4077.1038523306415;42225.113226938105;3686.2798936047693;42552.57379542719;4013.740462093854;42306.477205406;3767.6438720726655;52841.835425020996;14303.00209168766;52949.79710454551;14410.963771212177
