Dates;Solaire;Capa_sol;TCH_sol;Sol_p_exog;Err_exog;Sol_p_noreg;Err_noreg;Sol_p_LinReg;Err_LinReg
2021-01-24;645.0952380952381;10388.714285714286;0.062095772427038495;783.3871551097968;138.2919170145587;601.9068036235084;43.18843447172972;774.2292590780081;129.13402098276998
2021-01-31;629.3511904761906;10441.0;0.060276907429957914;809.9143914275003;180.56320095130965;618.0945048291544;11.256685647036216;849.6627427562095;220.31155228001893
2021-02-07;555.8511904761905;10492.142857142857;0.052977851907322945;970.5690762350325;414.71788575884204;805.0319876829402;249.18079720674965;933.2001224121732;377.3489319359827
2021-02-14;792.8035714285713;10543.285714285714;0.07519511401975529;1042.6948399733942;249.891268544823;854.1651990985918;61.361627670020404;1023.5311216670447;230.72755023847333
2021-02-21;1107.2499999999998;10595.142857142857;0.10450543375670791;1171.2517203213536;64.00172032135382;1026.535518147692;80.71448185230771;1117.290079620537;10.040079620537169
2021-02-28;1381.4136904761906;10646.285714285714;0.12975545909147837;1261.305014783401;120.10867569278939;1121.6973286097166;259.716361866474;1215.8886545478817;165.5250359283088
2021-03-07;926.5684523809523;10697.285714285714;0.08661715477446437;1597.7738864713401;671.2054340903878;1577.5342244647002;650.9657720837479;1316.8920807667823;390.32362838583
2021-03-14;1092.2708333333335;10749.0;0.10161604180233821;1846.8737512383077;754.6029179049742;1883.6796141376904;791.408780804357;1420.4316518752644;328.16081854193084
2021-03-21;1087.0505952380952;10800.714285714286;0.10064617639926812;1723.3886750242104;636.3380797861153;1677.6708515606238;590.6202563225285;1524.3923406671934;437.34174542909824
2021-03-28;1499.125;10851.714285714286;0.1381463758194887;1686.2606227112722;187.13562271127208;1601.3257368024078;102.20073680240782;1629.6922140189743;130.5672140189743
2021-04-04;2127.247023809524;10903.57142857143;0.19509635331368053;1701.9228215017897;425.3242023077342;1586.2625675293166;540.9844562802074;1735.0130767517385;392.2339470577854
2021-04-11;1925.6369047619046;10954.857142857143;0.17577928033661952;2052.129119829952;126.49221506804719;2048.5602629949026;122.92335823299788;1840.6443973871312;84.99250737477323
2021-04-18;2400.136904761905;11005.714285714286;0.2180809752509519;2190.348623433682;209.78828132822306;2224.003252051362;176.13365271054346;1946.0652170720787;454.07168768982643
2021-04-25;2419.041666666667;11057.57142857143;0.21876789874638797;1974.3009190936177;444.74074757304925;1891.6767703908372;527.3648962758299;2048.3580224135;370.68364425316724
2021-05-02;1605.758928571429;11108.42857142857;0.14455320284468684;2002.6140776324912;396.85514906106215;1905.1489936890327;299.39006511760374;2150.8020692349355;545.0431406635067
2021-05-09;2193.467261904762;11160.142857142857;0.1965447297568302;2026.2567151623905;167.2105467423714;1940.4090483446594;253.05821356010244;2247.8990121889055;54.43175028414374
2021-05-16;1800.6041666666665;11211.57142857143;0.16060230076918827;2425.4166359113856;624.8124692447192;2484.865567327188;684.2614006605213;2340.4087688824047;539.8046022157383
2021-05-23;2188.342261904762;11262.714285714286;0.19429972264150144;2242.203206157484;53.86094425272229;2194.234907676455;5.8926457716931955;2424.5004836453945;236.15822174063268
