Dates;Solaire;Capa_sol;TCH_sol;Sol_p_sinus;Err_sinus;Sol_p_exog;Err_exog;Sol_p_filter;Err_exog_filter;Sol_p_reduit_noreg;Err_filter_noreg;Sol_p_reduit;Err_filter_exog_filter;Sol_p_LinReg;Err_LinReg;Sol_p_LinReg_filter;Err_LinReg_filter
2020-02-14;1148.7291666666667;9514;0.12074092565342304;635.5737690562194;513.1553976104475;799.8037196304396;348.9254470362272;799.8037196304396;348.9254470362272;547.3366705592645;601.3924961074024;711.2006659871727;437.5285006794941;947.4485852788231;201.28058138784365;947.4122251173795;201.31694154928718
2020-02-15;1333.3958333333335;9517;0.14010673881825506;868.8438925613073;464.55194077202606;1014.0339022248813;319.361931108452;1014.0339022248813;319.361931108452;841.9976303954497;491.3982029378836;1001.680304523378;331.71552880995534;960.4120010835311;372.9838322498023;960.3761070344042;373.01972629892913
2020-02-16;837.9166666666665;9520;0.08801645658263303;1177.6890441638818;339.7723774972153;1231.839175257765;393.9225085910985;1231.839175257765;393.9225085910985;1469.2343485788354;631.317681912169;1476.9262574259578;639.0095907592914;973.383401334041;135.46673466737454;973.3479736983201;135.43130703165355
2020-02-17;533.2083333333334;9521;0.05600339600182054;1210.4221030537428;677.2137697204096;1228.9175382738285;695.7092049404953;1228.9175382738285;695.7092049404953;1352.4474985383465;819.2391652050133;1306.6319946605247;773.4236613271914;986.1556322372144;452.94729890388095;986.1206786584056;452.9123453250723
2020-02-18;1298.9583333333335;9524;0.13638789724205516;1193.7962632539761;105.1620700793572;1219.5810671799725;79.37726615336086;1219.5810671799725;79.37726615336086;1202.9085740668158;96.0497592665176;1213.145482136345;85.81285119698829;995.9718456547773;302.986487678556;995.9372395089779;303.0210938243555
2020-02-19;1076.5833333333335;9527;0.1130033938630559;1402.6621781396047;326.0788448062713;1394.748805531039;318.16547219770536;1394.748805531039;318.16547219770536;1399.6025364332525;323.019203099919;1394.6806070894215;318.097273756088;1008.9635397050337;67.61979362829986;1008.9294007379083;67.65393259542526
2020-02-20;1373.0;9529;0.1440864728722846;1468.7184406537522;95.71844065375213;1422.6076107797135;49.60761077971357;1422.6076107797135;49.60761077971357;1549.4858221673187;176.48582216731882;1492.1813619041218;119.18136190412193;1021.8559817668665;351.14401823313347;1021.822313812714;351.177686187286
2020-02-21;1407.25;9530;0.14766526757607554;1363.0020131219057;44.24798687809405;1337.0668267599326;70.18317324006725;1337.0668267599326;70.18317324006725;1375.8998948890126;31.35010511098732;1335.7815902680777;71.4684097319221;1034.6451796173703;372.6048203826295;1034.6119863599447;372.6380136400553
2020-02-22;1575.25;9533;0.16524179167103745;1250.8586583491644;324.3913416508355;1260.3003808650767;314.94961913492324;1260.3003808650767;314.94961913492324;1120.7933250700764;454.4566749299237;1150.7535192498271;424.49648075017296;1044.4853463723407;530.7646536276594;1044.4525014511914;530.7974985488086
2020-02-23;1284.8333333333333;9536;0.13473503914988813;781.7331654991405;503.1001678341928;891.9278093873072;392.905523946026;891.9278093873072;392.905523946026;664.8284697539696;620.0048635793637;805.5810927993786;479.25224053395465;1054.3315014616621;230.50183187167104;1054.2990051026065;230.53432823072671
2020-02-24;1329.5;9537;0.1394044248715529;612.7716664976738;716.7283335023263;816.3379950518054;513.1620049481947;816.3379950518054;513.1620049481947;591.5334718089924;737.9665281910077;803.2265325118788;526.2734674881214;1070.306160502114;259.19383949788613;1070.2742589618115;259.2257410381887
2020-02-25;787.625;9539;0.08256892756054093;582.1207713825403;205.50422861745966;800.2946914234025;12.669691423402517;800.2946914234025;12.669691423402517;531.5489258794423;256.0760741205576;755.089385381019;32.53561461898096;1083.224552012804;295.5995520128041;1083.193122464014;295.56812246401415
2020-02-26;1140.3749999999998;9542;0.11951110878222593;843.7599178875162;296.6150821124836;1016.5137597964105;123.86124020358935;1016.5137597964105;123.86124020358935;754.9294462988503;385.44555370114955;949.2485143381683;191.1264856618315;1096.2631546821517;44.11184531784799;1096.2321940809347;44.14280591906505
2020-02-27;526.3333333333333;9544;0.05514808605755797;977.4239712452521;451.0906379119188;1093.2986829961267;566.9653496627933;1093.2986829961267;566.9653496627933;885.8393931217466;359.5060597884134;1029.8775038238264;503.5441704904931;1106.0183749140915;579.6850415807583;1105.987767022901;579.6544336895677
2020-02-28;1022.0625;9548;0.10704466904063678;1001.0860304236226;20.97646957637738;1106.4893373252119;84.42683732521186;1106.4893373252119;84.42683732521186;1120.6906932299921;98.62819322999214;1215.6523212895463;193.58982128954622;1119.187834669833;97.125334669833;1119.1576930837277;97.09519308372782
2020-02-29;618.9791666666667;9551;0.06480778627019859;812.2119691398343;193.23280247316762;953.5876456703644;334.60847900369765;953.5876456703644;334.60847900369765;824.4987160877308;205.51954942106406;942.7118074463342;323.73264077966746;1132.2493926208626;513.2702259541958;1132.2197208479615;513.2405541812949
2020-03-01;914.7083333333333;9552;0.09576092266890004;942.1624531344928;27.454119801159624;1087.4964989672092;172.7881656338759;1087.4964989672092;172.7881656338759;761.084748270067;153.62358506326623;938.1447011436646;23.436367810331394;1141.901368641475;227.19303530814196;1141.8720532623552;227.16371992902188
2020-03-02;686.9791666666666;9554;0.07190487404926382;1450.5810903238562;763.6019236571898;1480.566892274271;793.5877256076044;1480.566892274271;793.5877256076044;1435.6860464315666;748.7068797649;1500.3915724063643;813.4124057396976;1154.8543594173088;467.87519275064227;1154.8255173344207;467.8463506677542
2020-03-03;706.5416666666665;9554;0.07395244574698205;1608.4817422480942;901.9400755814277;1549.7247117641477;843.1830450974813;1549.7247117641477;843.1830450974813;1516.4224573563772;809.8807906897106;1478.5483084536838;772.0066417870172;1167.5682586167934;461.026591950127;1167.5398959681984;460.99822930153186
2020-03-04;667.7083333333334;9558;0.06985858268814955;898.9979523622403;231.2896190289069;965.8190790708751;298.1107457375416;965.8190790708751;298.1107457375416;724.5260530433944;56.817719710060956;828.1115265290408;160.40319319570744;1180.7763098605817;513.0679765272482;1180.7484149723361;513.0400816390027
