Dates;Eolien;Capa_eol;TCH_eol;Eol_p_sinus;Err_sinus;Eol_p_exog;Err_exog;Eol_p_filter;Err_exog_filter;Eol_p_reduit_noreg;Err_filter_noreg;Eol_p_reduit;Err_filter_exog_filter;Eol_p_LinReg;Err_LinReg;Eol_p_LinReg_filter;Err_LinReg_filter
2020-01-05 06:00:00;1701.5;16507;0.10307748228024474;1885.8107975718526;184.31079757185273;2225.2187107451487;523.7187107451489;2197.243320664222;495.7433206642225;2102.834544408945;401.3345444089451;2483.452983215601;781.9529832156009;3001.9764369013874;1300.4764369013876;3002.066674312484;1300.5666743124839
2020-01-05 09:00:00;1701.333333333333;16507;0.10306738555360351;2209.8660601983147;508.5327268649815;2370.2272096611778;668.8938763278449;2803.344235523579;1102.0109021902458;2117.39563956893;416.0623062355972;2368.9018649631403;667.5685316298074;3203.121934308895;1501.7886009755618;3203.0140774674983;1501.680744134165
2020-01-05 12:00:00;1238.3333333333333;16507;0.07501867894428625;1629.4231087731305;391.08977543979734;1988.3598506336243;750.0265173002912;1207.5961155793798;30.737217753953402;1529.8990993912466;291.5657660579135;1389.6261583578748;151.29282502454168;4136.941100944994;2898.6077676116606;4137.085245027827;2898.7519116944936
2020-01-05 15:00:00;1081.6666666666667;16507;0.06552775590153673;1740.6958187973707;659.0291521307039;1855.6131550379534;773.9464883712866;1999.217419902098;917.5507532354313;1703.7716336495412;622.1049669828745;1934.4453354161822;852.7786687495154;3818.7121481771296;2737.0454815104627;3818.222909008467;2736.5562423418
2020-01-05 18:00:00;1648.333333333333;16507;0.09985662648169462;1698.5150125801122;50.181679246779055;1830.7316566204736;182.3983232871404;2259.3169889922915;610.9836556589584;2753.315264345454;1104.9819310121213;2942.736246961562;1294.4029136282286;3301.0068475944654;1652.6735142611324;3300.031529985285;1651.698196651952
2020-01-05 21:00:00;1981.666666666667;16507;0.12005007976414048;2190.041452419057;208.37478575239018;3012.695501789606;1031.0288351229394;2312.0292600089465;330.3625933422794;2057.9399062910975;76.27323962443066;2524.4294388079034;542.7627721412363;3422.9420166218274;1441.2753499551604;3422.854721448488;1441.1880547818212
2020-01-06 00:00:00;2284.1666666666665;16509;0.1383588749570941;1581.1429813185082;703.0236853481582;1713.2132972512077;570.9533694154587;1835.7209617274318;448.44570493923453;563.4482727514114;1720.7183939152549;986.273858431585;1297.8928082350812;3534.607115631966;1250.4404489652993;3535.2277165208716;1251.061049854205
2020-01-06 03:00:00;2489.5;16509;0.15079653522321157;1727.322939832683;762.1770601673168;2081.724446117804;407.7755538821961;2129.741252273519;359.7587477264807;834.4621593812411;1655.0378406187588;1176.2599386631825;1313.2400613368172;3675.473111185614;1185.9731111856145;3675.477339461625;1185.9773394616252
2020-01-06 06:00:00;3501.333333333333;16509;0.21208633674561347;1464.0240869226386;2037.3092464106942;1352.2963477850192;2149.036985548313;1717.3134423673484;1784.0198909659844;2041.6317114279536;1459.7016219053792;2092.346625038334;1408.986708294999;3773.9899270104843;272.6565936771514;3774.1437166668975;272.81038333356474
2020-01-06 09:00:00;4643.333333333333;16509;0.28126072647242917;1232.3072601486365;3411.0260731846965;2182.3367490637165;2460.9965842696165;1887.6832881172438;2755.6500452160894;2390.9203096284323;2252.4130237049008;2478.421962932099;2164.911370401234;3843.688492033169;799.6448413001642;3844.4981919031097;798.8351414302234
2020-01-06 12:00:00;3570.833333333333;16509;0.21629616168958343;1137.174918593725;2433.6584147396084;1450.3537533702824;2120.4795799630506;679.0767128408903;2891.7566204924424;1265.9326832443758;2304.9006500889573;1175.875221465977;2394.958111867356;4629.976090750262;1059.1427574169293;4631.36431509355;1060.5309817602179
2020-01-06 15:00:00;3935.666666666666;16509;0.23839521876956;1137.9438552485678;2797.722811418098;1385.082917447939;2550.583749218727;1403.1661057170866;2532.5005609495793;899.3083273585435;3036.3583393081226;1228.4163922432622;2707.2502744234034;4135.863931892412;200.19726522574658;4136.99817832574;201.33151165907378
2020-01-06 18:00:00;5726.166666666668;16509;0.346851212469966;1186.2874656671002;4539.879200999569;1447.2212405896666;4278.945426077002;1608.743868511685;4117.422798154983;1286.8471481652707;4439.319518501397;1633.5996458399384;4092.56702082673;3407.300208812766;2318.8664578539024;3408.522730983115;2317.6439356835535
2020-01-06 21:00:00;6264.166666666668;16509;0.37943949764774776;1048.17944518895;5215.987221477718;1351.521539970822;4912.645126695846;1130.9229333875896;5133.243733279078;480.8134628635994;5783.353203803069;1023.9304862492598;5240.236180417407;3502.6961187523016;2761.4705479143663;3504.113682096697;2760.0529845699707
2020-01-07 00:00:00;5174.166666666667;16512;0.31335796188630494;1159.595705997811;4014.570960668856;1763.5637557300572;3410.60291093661;1292.6678892462678;3881.4987774203996;391.433582143124;4782.733084523543;412.41814732324576;4761.748519343421;3646.529933928072;1527.6367327385951;3647.9742017566055;1526.1924649100615
