Dates;Consommation;Conso_p_exog;Err_exog;Conso_p_noreg;Err_noreg;Conso_p_LinReg;Err_LinReg
2021-04-25;48691.866071428565;49108.7248961101;416.8588246815343;48699.53374623539;7.667674806827563;54740.33567180976;6048.469600381191
2021-05-02;48290.321428571435;45018.83752741478;3271.4839011566582;46633.56099731075;1656.7604312606854;57080.98486738255;8790.663438811112
2021-05-09;48597.440476190466;47153.99287285095;1443.4476033395185;47356.34143005607;1241.0990461343972;54207.93441119611;5610.493935005645
2021-05-16;45412.184523809534;45809.872581738404;397.68805792886997;48297.45933579614;2885.2748119866083;54753.05931760637;9340.874793796836
2021-05-23;47290.154761904756;46389.12249457454;901.0322673302144;45917.13043590401;1373.0243260007483;54303.9565503005;7013.801788395744
2021-05-30;44994.8244047619;41583.4478531653;3411.3765515966006;43772.62780737449;1222.1965973874103;50794.43658037707;5799.61217561517
2021-06-06;43183.181547619046;42194.584719996914;988.596827622132;45074.525993005984;1891.3444453869379;45466.67520663512;2283.4936590160723
2021-06-13;43842.21726190477;45971.244605747896;2129.027343843125;44480.867812980156;638.650551075385;42281.244810956065;1560.972450948706
2021-06-20;44858.074404761916;44325.77642800232;532.2979767595971;44965.74874448324;107.6743397213213;39352.18501041527;5505.889394346646
2021-06-27;43551.830357142855;45046.77508179834;1494.9447246554846;45502.966550997924;1951.136193855069;46216.87016835775;2665.039811214898
2021-07-04;43886.64583333333;48062.8952024583;4176.249369124969;45524.39122314911;1637.7453898157837;45076.625949800466;1189.9801164671371
2021-07-11;43980.616071428565;40644.1289963234;3336.487075105164;45406.948561146906;1426.332489718341;44944.60360022975;963.9875288011826
2021-07-18;42776.205357142855;44779.815946433315;2003.6105892904598;44871.746349623776;2095.540992480921;44446.429771852374;1670.224414709519
2021-07-25;44990.7619047619;46216.48556162603;1225.723656864131;44500.816021079794;489.9458836821068;38521.06155213568;6469.70035262622
2021-08-01;43044.45833333333;42066.25553776015;978.2027955731755;42515.26685655107;529.19147678226;44381.509454961095;1337.0511216277664
2021-08-08;39803.03571428572;43610.52306826464;3807.487353978926;40657.30340914737;854.2676948616499;46167.49216203544;6364.456447749726
2021-08-15;40754.1875;40543.525670446164;210.66182955383556;39675.442543313984;1078.744956686016;40159.25119680362;594.9363031963803
2021-08-22;40883.63392857143;38802.00200724393;2081.6319213274983;41634.780144278666;751.1462157072383;44539.54025243118;3655.906323859752
2021-08-29;42304.97916666667;43262.20060895778;957.2214422911056;44388.12125708112;2083.142090414447;45550.00821588962;3245.029049222947
2021-09-05;44163.6369047619;45021.09507721852;857.458172456616;45304.04175577221;1140.4048510103094;43738.098099584604;425.53880517729704
2021-09-12;44676.029761904756;44302.67174380412;373.35801810063276;45840.50287303847;1164.4731111337169;41727.73847490187;2948.2912870028886
2021-09-19;44267.11607142859;50069.662248303684;5802.546176875097;45590.22217786747;1323.106106438885;44995.53299044314;728.4169190145549
2021-09-26;44078.26785714286;44619.18060196261;540.9127448197469;45846.24502075036;1767.9771636074947;48284.37658087602;4206.108723733159
2021-10-03;45417.13392857141;46525.88582318959;1108.7518946181735;46795.2877903542;1378.15386178279;50678.3174821292;5261.183553557785
2021-10-10;47294.294642857145;47065.30341270007;228.991230157073;47917.29482154243;623.0001786852881;53888.8990247421;6594.604381884958
2021-10-17;50230.89583333333;50299.86193909076;68.96610575743398;46952.86735398711;3278.0284793462197;56665.153069571345;6434.257236238016
2021-10-24;50154.154761904756;49050.918663334785;1103.2360985699706;49926.591723598685;227.56303830607067;54348.934730367444;4194.779968462688
2021-10-31;51127.470238095244;53399.83673450617;2272.3664964109266;50888.51657266663;238.95366542861302;54656.300597562346;3528.8303594671015
