Dates;Eolien;Capa_eol;TCH_eol;Eol_p_exog;Err_exog;Eol_p_noreg;Err_noreg;Eol_p_LinReg;Err_LinReg
2020-08-02;2748.315476190476;17132.285714285714;0.16041732679596862;2338.0770904551273;410.2383857353486;2551.098448499044;197.21702769143195;2744.893949651561;3.4215265389153275
2020-08-09;1579.235119047619;17153.428571428572;0.09206527502484578;2033.6167288259371;454.38160977831814;2565.5256733677456;986.2905543201265;1201.9100160434823;377.3251030041367
2020-08-16;1431.6249999999998;17174.571428571428;0.08335724742559597;2152.202865502608;720.577865502608;1747.7881146143761;316.1631146143764;1029.1810876225652;402.44391237743463
2020-08-23;3748.696428571429;17196.714285714286;0.21798910921521555;2245.9140151201946;1502.7824134512346;2185.0184965086505;1563.6779320627786;3977.464202145197;228.76777357376756
2020-08-30;4368.369047619048;17217.714285714286;0.2537136448618809;893.4275140033322;3474.941533615716;1901.2537883246127;2467.1152592944354;4964.017064769584;595.6480171505358
2020-09-06;1659.7857142857144;17238.285714285714;0.0962848476812411;4476.187617037642;2816.401902751927;1437.1064628880858;222.67925139762843;1844.81881141147;185.03309712575575
2020-09-13;1114.9851190476188;17259.85714285714;0.06459990426450585;4298.116866154265;3183.131747106647;2730.635652291381;1615.6505332437623;938.4505661115452;176.53455293607357
2020-09-20;2982.029761904762;17280.85714285714;0.1725626071237648;1432.117375354489;1549.9123865502727;3988.6961798320613;1006.6664179272994;1952.8306325519206;1029.199129352841
2020-09-27;6170.648809523808;17301.714285714286;0.3566495612876235;2457.5075024192547;3713.1413071045536;2496.7273071650075;3673.921502358801;5957.149528003895;213.4992815199128
2020-10-04;4835.919642857144;17323.285714285714;0.279157183147374;2996.253293066375;1839.6663497907691;2219.737940065288;2616.1817027918564;5015.971930660516;180.0522878033718
2020-10-11;6292.6755952380945;17343.85714285714;0.3628186938699306;4161.995287391932;2130.6803078461626;2676.9920364860423;3615.6835587520522;6313.733583512276;21.05798827418132
2020-10-18;2548.285714285714;17365.285714285714;0.14674597102593845;6616.019230285015;4067.7335159993004;3749.459664676168;1201.173950390454;3091.2564516034945;542.97073731778
2020-10-25;6874.684523809524;17386.428571428572;0.3954052147953384;6612.439015493473;262.24550831605063;5946.2746834115305;928.4098403979929;6168.704062512844;705.9804612966792
2020-11-01;7589.312500000001;17407.571428571428;0.4359776739185741;7660.451774347317;71.13927434731616;6558.301225971118;1031.0112740288832;6789.166389025877;800.1461109741242
2020-11-08;5204.556547619048;17427.85714285714;0.29863433610667106;4469.527004618618;735.0295430004294;7083.259595478896;1878.703047859848;3996.0245364484026;1208.532011170645
2020-11-15;4861.104166666667;17449.85714285714;0.27857558528245563;5580.869226903684;719.7650602370165;5158.204074257069;297.099907590402;3973.4791391158114;887.6250275508557
2020-11-22;4277.25;17471.571428571428;0.24481198027816617;3324.9476914348074;952.3023085651922;4367.001713324127;89.75171332412734;4050.1600875810204;227.08991241897922
2020-11-29;2791.089285714286;17492.0;0.15956375975956355;3172.371879447885;381.2825937335994;3682.108398605166;891.0191128908804;2307.86729724097;483.2219884733157
2020-12-06;5053.845238095238;17514.14285714286;0.28855795452382693;2772.099369267278;2281.7458688279594;3246.4732338875274;1807.37200420771;4909.154812893478;144.6904252017588
2020-12-13;4267.380952380952;17534.85714285714;0.24336559560277218;6434.059135772711;2166.678183391759;3209.722803791572;1057.6581485893805;4538.814616718343;271.43366433739124
2020-12-20;6026.002976190476;17555.428571428572;0.34325581694985136;9430.810571836639;3404.8075956461616;6063.526141200668;37.52316501019127;4865.515243154691;1160.4877330357858
2020-12-27;8566.779761904761;17577.285714285714;0.4873778523689935;8731.822500222876;165.04273831811406;7518.104044329266;1048.6757175754954;8190.899119645661;375.8806422591005
2021-01-03;3626.705357142857;17598.714285714286;0.20607785877215054;5490.399281300594;1863.6939241577372;8202.283128411655;4575.577771268797;3914.217938133747;287.51258099088994
2021-01-10;2645.8511904761913;17620.14285714286;0.15016059812498145;5659.37597509366;3013.5247846174684;6898.941112841375;4253.089922365183;2794.1313080554464;148.28011757925518
2021-01-17;6137.622023809524;17642.85714285714;0.3478814102564103;5385.497315750829;752.1247080586949;5854.011652966417;283.6103708431066;6023.88488361866;113.73714019086414
2021-01-24;7521.157738095238;17665.0;0.4257660763144771;5904.086949370259;1617.0707887249791;4755.673306665296;2765.484431429942;7117.76446890802;403.3932691872187
2021-01-31;6735.0119047619055;17687.85714285714;0.3807703697721063;10628.861355069179;3893.849450307273;5249.79542126731;1485.2164834945954;6434.367815990362;300.6440887715433
2021-02-07;5187.125;17710.14285714286;0.29289007106500714;8287.23619111379;3100.111191113791;8650.271604073347;3463.146604073346;5019.009727355106;168.11527264489425
2021-02-14;5850.976190476192;17731.85714285714;0.3299697343226746;5405.906651249992;445.069539226199;8634.834993969716;2783.858803493526;6254.449061594407;403.47287111821566
2021-02-21;8344.089285714286;17754.571428571428;0.4699684990585926;6058.229053420683;2285.8602322936035;5972.326438255187;2371.7628474590997;6572.574146800865;1771.5151389134217
2021-02-28;5417.779761904762;17777.14285714286;0.30476099592842604;3260.656656039845;2157.1231058649178;5552.419432734784;134.63967083002117;4121.950452178785;1295.8293097259775
2021-03-07;3047.461309523809;17799.428571428572;0.1712111878926022;2921.6616218780464;125.79968764576314;4333.880099311224;1286.4187897874142;2504.0552893460053;543.4060201778041
2021-03-14;8551.080357142857;17822.0;0.47980475575933434;5127.160609591047;3423.9197475518095;3103.249751203336;5447.830605939521;8455.05640739523;96.02394974762592
2021-03-21;5834.999999999999;17844.0;0.32700067249495623;2686.5942651696664;3148.4057348303327;4125.564946621655;1709.4350533783447;6463.525207586472;628.5252075864732
2021-03-28;3340.300595238095;17866.571428571428;0.1869581194462657;2960.8503048983166;379.4502903397782;3437.55016247896;97.24956724086522;3311.796115547533;28.50447969056179
2021-04-04;4016.261904761905;17888.714285714286;0.22451372639839431;3309.5748053435677;706.6870994183373;2798.7668787763632;1217.4950259855416;3085.1170500764965;931.1448546854084
2021-04-11;4113.979166666667;17911.714285714286;0.22968092841609375;3685.688188684618;428.29097798204856;2712.772067352604;1401.2070993140624;4692.040986302157;578.0618196354898
2021-04-18;3551.0654761904775;17934.0;0.19800744263357184;2994.5381147522653;556.527361438212;3076.0603464789947;475.0051297114826;3914.7735669359267;363.70809074544957
2021-04-25;3875.5625;17955.85714285714;0.2158383456253829;3845.326035698768;30.23646430123199;2918.1699286373646;957.3925713626354;3177.9505141470477;697.6119858529521
2021-05-02;2451.943452380953;17978.428571428572;0.13638252323551772;6451.286703279836;3999.3432508988826;2903.3589828532067;451.415530472254;2490.976244741126;39.032792360172785
2021-05-09;5912.401785714284;18000.571428571428;0.32845633868766066;4133.409128037102;1778.9926576771827;5392.337824359108;520.0639613551767;5561.392099200752;351.0096865135318
