Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_exog;Err_exog;Hyd_p_noreg;Err_noreg;Hyd_p_LinReg;Err_LinReg
2021-02-07;10290.934523809525;25346;0.4060180905787708;10009.520638472244;281.41388533728036;10000.409590810303;290.5249329992224;7372.365631346611;2918.568892462914
2021-02-14;12198.49404761905;25346;0.48127886244847506;10599.126570924127;1599.3674766949225;10742.336642359622;1456.1574052594276;7212.087088632394;4986.406958986656
2021-02-21;9324.267857142857;25346;0.36787926525459075;10413.071524361256;1088.8036672183994;10341.645696487203;1017.3778393443457;6790.671278171648;2533.596578971209
2021-02-28;8294.395833333334;25346;0.32724673847286884;10297.389152641666;2002.9933193083327;10346.522475955395;2052.126642622062;6860.569365055653;1433.8264682776808
2021-03-07;9191.0;25346;0.36262132091848814;9699.996584885936;508.9965848859354;9785.614608621921;594.6146086219209;6822.666314009686;2368.3336859903143
2021-03-14;7409.345238095238;25346;0.29232799014026817;9060.829160283738;1651.4839221885015;8977.179635313936;1567.834397218699;7092.444364977154;316.90087311808355
2021-03-21;8197.261904761906;25346;0.3234144206092443;9239.671717886838;1042.4098131249325;9277.461554907528;1080.199650145622;7026.794679043071;1170.4672257188358
2021-03-28;6911.7619047619055;25346;0.27269635858762353;9206.457413893831;2294.695509131925;9199.017236940339;2287.255332178433;6817.369933823143;94.39197093876382
2021-04-04;6204.446428571428;25346;0.24478996404053613;8134.227342045159;1929.7809134737306;8175.692982291647;1971.2465537202186;6755.441507117107;550.9950785456782
2021-04-11;6089.895833333334;25346;0.24027048975512247;8200.724928191328;2110.829094857994;8219.995466327797;2130.099632994463;7147.206981378715;1057.311148045381
2021-04-18;5744.229166666668;25346;0.22663257187195882;8219.683035164808;2475.453868498139;8102.234319259094;2358.005152592426;6860.031349634242;1115.8021829675738
2021-04-25;4335.514880952381;25346;0.17105321869140616;7346.153125624754;3010.638244672373;7405.772234862535;3070.2573539101545;6987.392496005015;2651.8776150526346
2021-05-02;5519.845238095239;25346;0.21777973795057365;8251.874328021293;2732.0290899260526;8317.948161636199;2798.10292354096;7883.084047459806;2363.2388093645664
2021-05-09;6680.556547619048;25346;0.26357439231512064;8260.552612327154;1579.9960647081055;8294.111330043022;1613.5547824239738;7092.879312958601;412.32276533955314
2021-05-16;8340.684523809523;25346;0.3290730104872375;8134.911096920536;205.7734268889869;7974.374095450003;366.3104283595197;8362.971886717982;22.287362908458572
2021-05-23;8965.169642857143;25346;0.3537114196661068;8034.939931891116;930.2297109660266;8090.695781179366;874.4738616777765;7183.913756235239;1781.2558866219042
2021-05-30;8495.96130952381;25346;0.3351992941499175;8244.088624808077;251.87268471573182;8345.006334665419;150.95497485839118;6849.418068855413;1646.5432406683956
2021-06-06;8613.863095238094;25346;0.33985098616105475;7630.3792039596565;983.4838912784371;7557.6185324652715;1056.2445627728223;7559.94206787003;1053.9210273680635
2021-06-13;8740.29761904762;25346;0.34483932845607274;7171.246567050118;1569.0510519975016;7230.193842849942;1510.1037761976781;6846.849971809697;1893.447647237922
2021-06-20;8267.0625;25346;0.32616833030852993;6546.352388698942;1720.710111301057;6362.54379144045;1904.5187085595499;7338.52595911799;928.5365408820096
2021-06-27;8343.592261904761;25346;0.3291877322616887;6577.509368019257;1766.0828938855045;6591.2166013957385;1752.3756605090225;7939.875983903606;403.716278001156
2021-07-04;8301.199404761906;25346;0.327515166289036;6936.610228026617;1364.589176735289;6915.128486002053;1386.070918759853;7534.054158640765;767.1452461211406
2021-07-11;7458.083333333334;25346;0.2942509008653568;8657.251598577226;1199.168265243892;8801.10606748994;1343.0227341566056;7415.810038144547;42.27329518878647
2021-07-18;7746.497023809524;25346;0.30562996227450184;8643.054000430513;896.5569766209893;8587.741370255748;841.2443464462249;7579.75547158913;166.7415522203935
2021-07-25;7278.681547619048;25346;0.28717279048445704;8396.339385166175;1117.657837547126;8301.821666640379;1023.1401190213302;6872.303694639584;406.3778529794643
