Dates;Balance;Bal_p_exog;Err_exog;Bal_p_noreg;Err_noreg;Bal_p_LinReg;Err_LinReg
2020-06-21;4724.0625;7632.650248560212;2908.5877485602123;7298.359660326014;2574.297160326014;4922.027538916115;197.9650389161152
2020-06-28;2267.241071428572;7993.2857767632895;5726.044705334718;6666.080604902737;4398.839533474165;1802.809380716689;464.431690711883
2020-07-05;589.5535714285712;7575.841206708634;6986.287635280062;6607.405435489985;6017.851864061414;-338.58028159308515;928.1338530216564
2020-07-12;636.2678571428571;7788.302268537887;7152.0344113950305;6621.256700820022;5984.988843677165;595.9681904535528;40.29966668930433
2020-07-19;3354.3422619047624;7899.563186654495;4545.220924749733;6854.496841107086;3500.1545792023235;3952.1011248224486;597.7588629176862
2020-07-26;2769.3809523809527;8362.569470565799;5593.1885181848465;7018.243917341858;4248.862964960905;2791.7631372620635;22.38218488111079
2020-08-02;1788.6845238095236;10092.246898925989;8303.562375116466;7975.128636561362;6186.4441127518385;1953.2219382136625;164.53741440413887
2020-08-09;2739.360119047619;9165.787770793593;6426.427651745975;9068.183043718383;6328.822924670765;3497.1877829148134;757.8276638671946
2020-08-16;2671.8541666666665;7569.802383672772;4897.948217006106;8203.572001731594;5531.717835064928;3992.649206892323;1320.7950402256565
2020-08-23;3193.916666666666;5943.687706364959;2749.771039698293;8187.0038429954775;4993.087176328811;2462.5055467554866;731.4111199111794
2020-08-30;968.8333333333335;6524.085172537422;5555.251839204089;6064.428986685184;5095.595653351851;381.5842358167856;587.2490975165479
2020-09-06;-1946.6994047619046;7402.115511223563;9348.814915985467;6321.549883472714;8268.24928823462;-146.47051096699897;1800.2288937949056
2020-09-13;-2402.973214285714;6553.122423611285;8956.095637896999;6497.320926800418;8900.294141086133;-43.64420472014717;2359.329009565567
2020-09-20;-1949.145833333333;6365.677550462657;8314.823383795989;6857.325588250614;8806.471421583947;-565.5043385167555;1383.6414948165775
2020-09-27;2478.247023809524;5769.120512302145;3290.8734884926207;6243.665072334919;3765.4180485253955;1081.4327423973614;1396.8142814121625
2020-10-04;2312.7886904761904;4299.838414806702;1987.0497243305113;6021.951771151859;3709.163080675669;2264.001605449108;48.78708502708241
2020-10-11;4198.169642857143;3923.202450188436;274.96719266870696;4731.143331297044;532.9736884399008;3021.6176847612;1176.551958095943
2020-10-18;1046.5357142857144;5896.692735712318;4850.157021426603;4605.071386446309;3558.535672160594;3232.7474617713897;2186.211747485675
2020-10-25;5122.488095238095;5625.295568569725;502.8074733316298;5959.062121407685;836.5740261695892;3567.8231652804448;1554.6649299576507
2020-11-01;6705.083333333332;5588.34497703132;1116.738356302012;5946.1871816357525;758.8961516975796;4274.933256552098;2430.150076781234
2020-11-08;6539.139880952382;5074.3799605352815;1464.7599204171001;7189.752947462925;650.6130665105429;5658.7468487516635;880.3930322007182
2020-11-15;10496.202380952382;1799.118661632704;8697.083719319678;5346.264533283509;5149.937847668873;8824.982008244875;1671.2203727075066
2020-11-22;5855.014880952382;1445.2807387094422;4409.73414224294;3303.63722769511;2551.3776532572715;5649.074608041725;205.94027291065686
2020-11-29;4436.14880952381;1530.9396444770384;2905.209165046772;1565.8468755079298;2870.3019340158803;5585.549320835147;1149.4005113113371
2020-12-06;1099.3869047619046;2476.470465108411;1377.0835603465066;1161.6509523781306;62.26404761622598;1645.1694928106704;545.7825880487658
2020-12-13;-857.2261904761905;4753.855529395676;5611.081719871867;1781.120530570506;2638.3467210466965;937.9315476912789;1795.1577381674692
2020-12-20;6070.089285714287;6224.283417901021;154.19413218673344;5119.766990856851;950.3222948574357;5096.684540492057;973.4047452222303
2020-12-27;7584.726190476192;6624.532568349641;960.1936221265505;5678.287404869263;1906.4387856069288;5190.8465353984775;2393.8796550777142
2021-01-03;210.44047619047618;9278.853220827421;9068.412744636944;7679.100822137563;7468.660345947087;3260.764065071361;3050.323588880885
2021-01-10;-2540.845238095238;9025.476732186446;11566.321970281684;8204.419738731536;10745.264976826775;1094.704575147437;3635.549813242675
2021-01-17;4505.062499999999;8298.414206528672;3793.3517065286733;8715.221219373729;4210.15871937373;3683.177924712305;821.8845752876941
2021-01-24;4312.666666666667;6376.204330407935;2063.5376637412683;7259.916100007217;2947.2494333405502;3039.7495400623293;1272.9171266043377
2021-01-31;6616.330357142858;5078.320349644383;1538.0100074984748;6333.079237791126;283.2511193517321;5267.3628749340205;1348.9674822088373
2021-02-07;8429.297619047618;5579.85473519324;2849.442883854378;5893.884748011148;2535.4128710364703;8038.711300674093;390.5863183735255
2021-02-14;-565.014880952381;7890.204575531703;8455.219456484085;5530.984469938749;6095.999350891129;72.44337840028584;637.4582593526668
2021-02-21;5972.416666666668;5931.190731234935;41.22593543173298;6540.733964302583;568.3172976359156;2693.4246281675446;3278.9920384991233
2021-02-28;6731.997023809524;5902.753123536191;829.2439002733327;5752.173281406947;979.8237424025765;5197.0689684151275;1534.9280553943963
2021-03-07;4078.2172619047606;8285.537332061136;4207.320070156376;6007.56130536471;1929.3440434599497;5083.537669300159;1005.3204073953984
2021-03-14;5139.119047619048;7888.290053900896;2749.1710062818483;7041.55661277593;1902.4375651568826;2437.372326572783;2701.7467210462646
2021-03-21;4157.241071428572;4218.971567421016;61.73049599244405;7177.347448663397;3020.1063772348252;4115.983499645021;41.2575717835507
2021-03-28;3414.351190476191;7756.879795754324;4342.528605278133;5104.142868844579;1689.7916783683886;4843.41248805318;1429.061297576989
2021-04-04;6959.431547619047;7967.447013592855;1008.0154659738082;7140.8719439850565;181.44039636600974;6220.369901910927;739.0616457081196
2021-04-11;-735.1160714285717;5594.291174113438;6329.407245542009;5836.923320551484;6572.039391980055;444.1595280431925;1179.275599471764
2021-04-18;-1077.0148809523812;4930.954960433954;6007.969841386335;5778.805396035916;6855.820276988297;44.519921468451685;1121.5348024208329
2021-04-25;3956.830357142857;6560.818473720966;2603.988116578109;4519.528448594312;562.6980914514552;3448.536871644335;508.29348549852193
2021-05-02;3174.854166666667;7637.877521619868;4463.023354953201;5743.356533955377;2568.50236728871;4894.178469783711;1719.324303117044
2021-05-09;3728.3690476190477;8458.727216439069;4730.358168820021;7301.455886557402;3573.086838938354;2132.4768186479614;1595.8922289710863
2021-05-16;8510.285714285714;9014.540766929838;504.2550526441246;7898.16924655744;612.1164677282741;7328.923464372521;1181.3622499131925
2021-05-23;10359.25595238095;9116.888677493798;1242.3672748871522;9283.896901693199;1075.3590506877517;6610.643245304865;3748.612707076086
