Dates;Balance;Bal_p_sinus;Err_sinus;Bal_p_exog;Err_exog;Bal_p_filter;Err_exog_filter;Bal_p_reduit_noreg;Err_filter_noreg;Bal_p_reduit;Err_filter_exog_filter;Bal_p_LinReg;Err_LinReg;Bal_p_LinReg_filter;Err_LinReg_filter
2020-12-06;-2909.833333333333;1777.539231550527;4687.37256488386;2889.0255079622075;5798.8588412955405;4010.5952114815827;6920.428544814916;1488.638937760043;4398.472271093377;3184.8579773300753;6094.691310663408;1420.9699056321183;4330.803238965451;1452.9218277396935;4362.755161073026
2020-12-07;-5511.479166666668;1107.9218942547388;6619.4010609214065;537.6460923011209;6049.125258967789;2393.179260072612;7904.65842673928;1511.541110030514;7023.0202766971815;2104.3041924178106;7615.783359084478;1284.4301674150602;6795.909334081728;1332.0735724316796;6843.552739098348
2020-12-08;-5608.083333333332;-286.27662506637876;5321.806708266953;914.412275843087;6522.495609176419;1728.3987794737186;7336.482112807051;-378.4212226212036;5229.662110712128;1369.9897137202042;6978.073047053536;1422.5783097046617;7030.661643037994;1470.25465070356;7078.3379840368925
2020-12-09;-3618.5625;483.43686125747377;4101.9993612574735;776.7877999656321;4395.350299965632;1775.3431143171288;5393.905614317129;430.0257791538262;4048.588279153826;1364.7852820973949;4983.347782097395;2503.9492879803734;6122.511787980373;2538.929220351809;6157.491720351809
2020-12-10;-1324.5208333333333;1542.6621349814493;2867.1829683147826;1114.0818422098928;2438.602675543226;2340.587554481173;3665.1083878145064;749.8660114594359;2074.386844792769;1707.5145711731075;3032.0354045064405;2398.4439481807667;3722.9647815140997;2448.402409869186;3772.923243202519
2020-12-11;638.2291666666666;393.11324831395103;245.1159183527156;1626.3236281290183;988.0944614623517;1346.328620146498;708.0994534798314;432.6418579434062;205.58730872326043;1543.294822077788;905.0656554111214;2619.9826925671123;1981.7535259004458;2650.194806566815;2011.9656399001483
2020-12-12;4134.354166666667;535.3620132462755;3598.9921534203913;3384.2688411160098;750.0853255506572;2918.7346197014485;1215.6195469652184;1101.0181964822173;3033.3359701844497;3193.8302596980375;940.5239069686295;4257.1513586112;122.79719194453264;4261.281341115627;126.9271744489597
2020-12-13;5289.479166666667;3270.2168971048804;2019.2622695617865;5504.588124953974;215.10895828730736;5307.789852134214;18.310685467547046;3852.7935670915026;1436.6855995751644;5016.901490460281;272.57767620638606;4149.419956078764;1140.0592105879032;4154.990451327962;1134.4887153387053
2020-12-14;3409.833333333333;5138.239605378372;1728.4062720450393;3766.512844507824;356.6795111744909;4673.245717980884;1263.4123846475513;5703.98876255906;2294.155429225727;4527.070357745349;1117.2370244120157;3232.9205630876922;176.9127702456408;3261.450802348913;148.3825309844201
2020-12-15;4172.125;4410.3174637217435;238.19246372174348;4666.1442024850285;494.0192024850285;4911.700022108645;739.5750221086446;4933.338200524591;761.2132005245912;5502.58538404282;1330.46038404282;3421.276891488628;750.8481085113722;3454.17574822823;717.9492517717699
