Dates;Consommation;Conso_p_sinus;Err_sinus;Conso_p_exog;Err_exog;Conso_p_filter;Err_exog_filter;Conso_p_reduit_noreg;Err_filter_noreg;Conso_p_reduit;Err_filter_exog_filter;Conso_p_LinReg;Err_LinReg;Conso_p_LinReg_filter;Err_LinReg_filter
2021-06-20;38444.312500000015;38193.37516337612;250.93733662389423;37265.793146997254;1178.519353002761;36875.8185861103;1568.493913889717;39168.3391528523;724.0266528522843;38543.37654802889;99.06404802887846;43614.38017331774;5170.067673317724;43993.57209815217;5549.259598152159
2021-06-21;44648.08333333333;46107.94795231061;1459.8646189772844;45902.95895997296;1254.8756266396304;46922.59140580222;2274.5080724688887;45345.13770902218;697.054375688851;46824.18068985011;2176.0973565167806;45077.11104546576;429.0277121324325;45403.95347676869;755.8701434353643
2021-06-22;45516.04166666666;47835.503108670295;2319.461442003638;47459.47230299561;1943.4306363289506;46848.500419644544;1332.4587529778873;47799.5039738561;2283.4623071894457;45713.14544703212;197.10378036546172;47833.019349711016;2316.977683044359;48061.23092096063;2545.189254293975
2021-06-23;45665.33333333334;47747.9399857459;2082.6066524125563;48805.30429371785;3139.970960384504;48570.81952960803;2905.4861962746872;47999.68764448765;2334.354311154304;48860.136329837274;3194.8029965039314;48273.11548362699;2607.7821502936495;48485.57650899401;2820.2431756606675
2021-06-24;45452.39583333333;47736.30720295459;2283.911369621259;48659.814192861086;3207.4183595277573;48369.00645992597;2916.610626592643;48430.19767018423;2977.8018368509;47768.79676330896;2316.400929975629;48346.034157814676;2893.638324481348;48555.88550580673;3103.489672473399
2021-06-25;44847.72916666667;47116.26452577595;2268.535359109279;47561.92003791795;2714.1908712512814;47276.61858530359;2428.8894186369216;47993.77058312108;3146.0414164544054;46983.71904726616;2135.989880599489;47334.998373388225;2487.269206721554;47581.03355551185;2733.3043888451793
2021-06-26;40317.270833333336;41682.85584571585;1365.5850123825148;44021.94862265223;3704.677789318892;42947.56172320351;2630.2908898701717;42997.34133344243;2680.0705001090973;43749.26809236147;3431.9972590281322;45164.48907332502;4847.218239991686;45488.2043432401;5170.933509906761
2021-06-27;38415.958333333336;38601.32009578391;185.3617624505714;40703.59182994501;2287.6334966116774;40333.71815364179;1917.7598203084563;40404.62766842178;1988.6693350884452;40888.16412239503;2472.2057890616925;43896.87525488677;5480.916921553435;44265.95699832908;5849.998664995743
2021-06-28;44568.81250000001;45730.19323432194;1161.3807343219305;43706.17454857814;862.6379514218643;45257.18853172657;688.3760317265624;46689.96660766116;2121.154107661154;44574.53413774066;5.721637740651204;46079.482921329916;1510.670421329909;46370.45159004886;1801.639090048855
2021-06-29;45594.375;46856.77022183625;1262.3952218362465;45909.393057815025;315.0180578150248;46725.1113048515;1130.7363048515035;49159.82246777462;3565.4474677746184;49511.93583006158;3917.5608300615786;47256.772881405734;1662.3978814057336;47505.60766594735;1911.2326659473474
2021-06-30;45629.39583333333;47216.489103707485;1587.0932703741564;46422.376247559805;792.9804142264766;46420.32765888026;790.9318255469334;49373.48036125194;3744.0845279186105;48861.894116109805;3232.498282776476;48108.807887860894;2479.4120545275655;48327.149297367956;2697.7534640346275
2021-07-01;46018.85416666666;47522.70989679611;1503.8557301294495;46371.75543562886;352.9012689622032;46513.81019278473;494.9560261180741;49760.67153175897;3741.8173650923127;49299.38512780088;3280.5309611342236;45838.72047811409;180.13368855256704;46138.30576401378;119.4515973471207
2021-07-02;45959.91666666666;47606.47857948732;1646.56191282066;48811.62095703317;2851.7042903665133;48508.50644085997;2548.589774193315;49133.89237921595;3173.9757125492906;50623.6338244345;4663.7171577678455;42490.08412538889;3469.8325412777704;42909.51334185996;3050.403324806699
2021-07-03;40925.75;41795.39331893561;869.6433189356103;42656.27591626181;1730.5259162618095;41478.452425740026;552.7024257400262;43724.86583393593;2799.1158339359317;42332.58757943222;1406.83757943222;43152.29727583406;2226.547275834062;43548.02662810196;2622.2766281019576
2021-07-04;38509.41666666667;38133.53643107286;375.88023559380963;38543.06103659751;33.64436993083655;37685.2259922675;824.1906743991713;40504.58609184264;1995.169425175969;39854.32139734483;1344.9047306781576;45906.34415450724;7396.92748784057;46203.50926505047;7694.092598383795
