Dates;Hydraulique;Capa_hyd;TCH_hyd;Hyd_p_sinus;Err_sinus;Hyd_p_exog;Err_exog;Hyd_p_filter;Err_exog_filter;Hyd_p_reduit_noreg;Err_filter_noreg;Hyd_p_reduit;Err_filter_exog_filter;Hyd_p_LinReg;Err_LinReg;Hyd_p_LinReg_filter;Err_LinReg_filter
2021-01-22;9704.979166666666;25346;0.3828998329782477;10758.030689407862;1053.0515227411965;10716.378431534084;1011.3992648674175;10698.849659071346;993.8704924046789;10345.964006274466;640.9848396078;10319.212100984223;614.2329343175575;7613.859787841137;2091.1193788255287;7593.6313034517825;2111.3478632148835
2021-01-23;9494.875;25346;0.3746103921723349;10711.72705952426;1216.8520595242608;10679.232266095785;1184.357266095785;10692.244811773746;1197.3698117737463;10406.85051587985;911.9755158798499;10427.421675332389;932.546675332389;7345.3805983440425;2149.494401655957;7335.3704963935825;2159.5045036064175
2021-01-24;9037.229166666668;25346;0.35655445303663963;8900.393583354109;136.8355833125597;8863.997811352268;173.2313553143988;8873.805644727168;163.4235219394989;9030.770125413424;6.4590412532444414;9040.7097305823;3.480563915633204;7343.600164959786;1693.6290017068823;7333.657826731578;1703.57133993509
2021-01-25;12596.770833333336;25346;0.49699245771850925;7822.566124365064;4774.204708968272;7783.681049986821;4813.089783346515;7777.436644151164;4819.334189182172;8355.186403054531;4241.584430278805;8344.783561332502;4251.987272000833;7247.850415959446;5348.92041737389;7241.552336176543;5355.218497156793
2021-01-26;12509.6875;25346;0.4935566756095636;10359.045287763278;2150.642212236721;10325.551979283136;2184.1355207168635;10327.028446555678;2182.659053444322;9919.416184651249;2590.2713153487516;9922.584822684623;2587.1026773153762;7120.470660346065;5389.216839653934;7119.020684657446;5390.666815342554
2021-01-27;11587.666666666664;25346;0.4571793050842999;10635.863768122666;951.8028985439984;10597.585630214524;990.081036452141;10592.823478873459;994.8431877932065;10550.081165920563;1037.5855007461014;10540.368717680869;1047.2979489857958;7301.969006413187;4285.697660253478;7293.611160078745;4294.05550658792
2021-01-28;10248.8125;25346;0.4043562100528683;10882.38171285774;633.5692128577385;10847.323983408514;598.5114834085134;10845.372842968187;596.5603429681865;10402.925973162995;154.11347316299486;10401.348510099182;152.53601009918157;7222.955991992898;3025.8565080071025;7217.605399965611;3031.2071000343894
2021-01-29;10419.895833333334;25346;0.41110612456929435;10400.55967462279;19.336158710545988;10366.276613725207;53.61921960812747;10372.585348266492;47.310485066842936;10581.39574307059;161.499909737256;10589.49421435711;169.59838102377563;7371.449264017643;3048.4465693156917;7360.446982390153;3059.448850943182
2021-01-30;10378.895833333332;25346;0.40948851232278594;10479.020600568325;100.1247672349929;10440.019884348898;61.12405101556472;10431.90628768453;53.010454351196024;10498.08020157184;119.18436823850725;10483.270859491204;104.37502615787102;7348.737026167581;3030.1588071657516;7338.599177767968;3040.296655565364
2021-01-31;9382.458333333332;25346;0.37017510981351426;8932.623333563313;449.8349997700193;8899.27445361813;483.1838797152023;8902.882492709288;479.5758406240436;8953.540195503927;428.918137829405;8962.191368917196;420.26696441613655;7327.713351893102;2054.74498144023;7318.375669586103;2064.0826637472296
